'id'|'parent_id'|'name'|'original'|'level'|'count'
'141186'|'137794'|'Пиццерия'|'Пиццерии'|'2'|'439'
'141188'|'137874'|'Туалеты для общего пользования'|'Общественные туалеты'|'2'|'1452'
'141190'|'137874'|'Инфокоммуникационные терминалы'|''|'2'|'126'
'141191'|'137925'|'Медресе'|''|'2'|'23'
'141193'|'137975'|'Организации по сбору и хранению стволовых клеток'|'Банки стволовых клеток'|'2'|'20'
'141194'|'138057'|'Средства для дезинфекции'|'Дезинфицирующие средства'|'2'|'573'
'141196'|'138189'|'Оптовая продажа товаров для свадьбы'|'Свадебные платья, аксессуары - опт'|'2'|'35'
'141198'|'138350'|'Грязепоглотители'|'Грязепоглощающие покрытия'|'2'|'534'
'141199'|'138350'|'Стройматериалы вторичного использования'|'Вторичные строительные материалы'|'2'|'303'
'141202'|'144608'|'Бронетранспорт'|'Бронированные автомобили'|'2'|'47'
'141203'|'144608'|'Морской вокзал'|''|'2'|'9'
'141204'|'144608'|'Заказ авиабилетов'|'Заказ пассажирского авиатранспорта'|'2'|'132'
'141205'|'144608'|'Гаражные кооперативы, коллективные автостоянки'|''|'2'|'126'
'141206'|'138554'|'Блистерная продукция'|'Блистерная упаковка'|'2'|'113'
'141207'|'138554'|'Спички'|''|'2'|'8'
'141209'|'138263'|'Фотостоки'|'Фотобанки'|'2'|'39'
'141210'|'137905'|'Виниловые пластинки'|'Музыкальные пластинки'|'2'|'195'
'141211'|'145113'|'Аренда и продажа кинооборудования'|'Кинооборудование – аренда, продажа'|'3'|'82'
'141212'|'138476'|'Оборудование, инструменты для ветеринарной медицины'|''|'2'|'4'
'141213'|'144608'|'Коллективные автостоянки'|''|'2'|'0'
'141214'|'137975'|'Сырье для косметической промышленности'|'Сырьё для производства косметики, бытовой химии'|'2'|'64'
'141215'|'138476'|'Кладбища домашних животных'|''|'2'|'3'
'141216'|'144607'|'Продажа эзотерических товаров'|'Эзотерические товары'|'2'|'252'
'141512'|'137794'|'Зооботанический сад'|''|'2'|'7'
